"column1","url","title","organisation","rating","Rating Count","enrollments","Mode","Level","duration","Language","subtitles","price","Course Package","Course Projects"
137,https://www.coursera.org/learn/advanced-models-for-decision-making,Advanced Models for Decision Making,University of Minnesota,"4.8","41 ","3,341","100% online",Beginner Level,Approx. 13 hours to complete,English, English,4023,-,-
138,https://www.coursera.org/learn/advanced-mysql-topics,Advanced MySQL Topics,Meta,"4.6","69 ","6,034","100% online",Intermediate Level,Approx. 18 hours to complete,English, English,1609,-,-
139,https://www.coursera.org/learn/advanced-neurobiology1,Advanced Neurobiology I,Peking University,"4.1","542 ","57,656","100% online",Intermediate Level,Approx. 27 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",2381,-,-
140,https://www.coursera.org/learn/advanced-portfolio-construction-python,Advanced Portfolio Construction and Analysis with Python,EDHEC Business School,"4.7","466 ","19,178","100% online",Intermediate Level,Approx. 12 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",3202,-,-
141,https://www.coursera.org/learn/advanced-programming-in-kotlin,Advanced Programming in Kotlin,Meta,"4.8","25 ","3,401","100% online",Intermediate Level,Approx. 20 hours to complete,English, English,1609,-,-
142,https://www.coursera.org/learn/advanced-programming-in-swift,Advanced Programming in Swift,Meta,"4.7","30 ","2,547","100% online",Intermediate Level,Approx. 19 hours to complete,English, English,1609,-,-
143,https://www.coursera.org/learn/advanced-r,Advanced R Programming,Johns Hopkins University,"4.3","561 ","30,384","100% online",Intermediate Level,Approx. 18 hours to complete,English," Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, Korean, German, Russian, Indonesian, English, Spanish",3202,-,-
144,https://www.coursera.org/learn/advanced-react,Advanced React,Meta,"4.6","347 ","32,020","100% online",Intermediate Level,Approx. 26 hours to complete,English, English,1609,-,-
145,https://www.coursera.org/learn/advanced-react-ar,React المتقدم,Meta,NA,NA,"377,779","100% online",Intermediate Level,Approx. 26 hours to complete,Arabic, Arabic,3184,Course 6 of 9,-
146,https://www.coursera.org/learn/advanced-react-es,React avanzado,Meta,NA,NA,"377,779","100% online",Intermediate Level,Approx. 26 hours to complete,Spanish, Spanish,3184,Course 6 of 9,-
147,https://www.coursera.org/learn/advanced-recommender-systems,Advanced Recommender Systems,EIT Digital,"3.7","19 ","2,587","100% online",Intermediate Level,Approx. 14 hours to complete,English, English,2381,-,-
148,https://www.coursera.org/learn/advanced-reports-sas-va,Creating Advanced Reports with SAS Visual Analytics,SAS,"4.7","198 ","9,280","100% online",Intermediate Level,Approx. 8 hours to complete,English, English,6486,-,-
149,https://www.coursera.org/learn/advanced-sas-programming-techniques,Advanced SAS Programming Techniques,SAS,"4.8","80 ","2,814","100% online",Intermediate Level,Approx. 17 hours to complete,English, English,4023,-,-
150,https://www.coursera.org/learn/advanced-system-security-topics,Advanced System Security Topics,University of Colorado System,"4.5","80 ","15,071","100% online",Beginner Level,Approx. 15 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,-,-
151,https://www.coursera.org/learn/advanced-topics-future-trends-database-technologies,Advanced Topics and Future Trends in Database Technologies,University of Colorado Boulder,"4.8","17 ","1,967","100% online",Beginner Level,Approx. 16 hours to complete,English, English,6486,-,-
152,https://www.coursera.org/learn/advanced-trading-algorithms,Advanced Trading Algorithms,Indian School of Business,"4.6","505 ","29,865","100% online",Intermediate Level,Approx. 11 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,-,-
153,https://www.coursera.org/learn/advanced-valuation-and-strategy,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,"4.6","1,125 ","113,930","100% online",Advanced Level,Approx. 16 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",2381,-,-
154,https://www.coursera.org/learn/advanced-writing,Advanced Writing,"University of California, Irvine","4.7","1,806 ","203,455","100% online",NA,Approx. 19 hours to complete,English," Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, German, Russian, Turkish, English, Spanish, Hindi",4023,Course 3 of 5,-
155,https://www.coursera.org/learn/advancedneurobiologyii,Advanced Neurobiology II,Peking University,"4.4","144 ","17,010","100% online",Intermediate Level,Approx. 25 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2381,-,-
156,https://www.coursera.org/learn/advertising-with-facebook,Advertising with Meta,Meta,"4.8","1,971 ","60,260","100% online",Beginner Level,Approx. 9 hours to complete,English," Arabic, French, Portuguese (European), Portuguese (Brazilian), Russian, English, Spanish",1609,-,-
157,https://www.coursera.org/learn/aeronautics,Digitalisation in Aeronautics,Technische Universität München (TUM),"4.7","140 ","5,881","100% online",Intermediate Level,Approx. 9 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",6451,-,-
158,https://www.coursera.org/learn/african-cities1,African cities : An Introduction to Urban Planning,École Polytechnique Fédérale de Lausanne,"4.7","17 ","5,232","100% online",Intermediate Level,Approx. 40 hours to complete,English," English, French, Portuguese (European)",2381,-,-
159,https://www.coursera.org/learn/african-development--from-the-past-to-the-present,African development – from the past to the present,Lund University,"4.1","36 ","3,885","100% online",Beginner Level,Approx. 27 hours to complete,English," English, Spanish, Swedish",2381,-,-
160,https://www.coursera.org/learn/afrique-mondialisation,"Afrique et mondialisation, regards croisés",Sciences Po,"4.7","178 ","8,812","100% online",Beginner Level,Approx. 14 hours to complete,French, French,2381,-,-
161,https://www.coursera.org/learn/after-the-arab-spring,After the Arab Spring – Democratic Aspirations and State Failure,University of Copenhagen,"4.7","508 ","15,524","100% online",Beginner Level,Approx. 25 hours to complete,English," Arabic, French, Portuguese (European), Russian, English, Spanish",2381,-,-
