"column1","url","title","organisation","rating","Rating Count","enrollments","Mode","Level","duration","Language","subtitles","price","Course Package","Course Projects"
1084,https://www.coursera.org/learn/constructores-de-paz,Constructores de Paz,Universidad de los Andes,"4.9","185 ","7,907","100% online",Beginner Level,Approx. 24 hours to complete,Spanish, Spanish,2381,-,-
1085,https://www.coursera.org/learn/construire-des-armatures-et-des-prototypes-basse-fidelite,Construire des wireframes (maquettes fonctionnelles) et des prototypes basse fidélité,Google,NA,NA,"6,297,326","100% online",Beginner Level,Approx. 20 hours to complete,French, French,766,-,-
1086,https://www.coursera.org/learn/construyendo-android-proyecto,Proyecto final - Construyendo una aplicación profesional con Android,Universidad Nacional Autónoma de México,"4.7","19 ","5,056","100% online",NA,Approx. 12 hours to complete,Spanish, Spanish,0,Course 5 of 5,-
1087,https://www.coursera.org/learn/consulting-problem-solving,Consulting Approach to Problem Solving,Emory University,"4.8","29 ","3,190","100% online",Beginner Level,Approx. 7 hours to complete,English, English,4023,-,-
1088,https://www.coursera.org/learn/consumption-marketing-culture,"Consumption, Marketing and Culture",University of London,NA,NA,"761","100% online",Beginner Level,Approx. 17 hours to complete,English, English,4023,-,Coursera Labs
1089,https://www.coursera.org/learn/contabilidad,Contabilidad para no contadores,Universidad Nacional Autónoma de México,"4.8","8,237 ","479,578","100% online",Beginner Level,Approx. 11 hours to complete,Spanish, Spanish,2381,-,-
1090,https://www.coursera.org/learn/contabilidad-como-herramienta-gerencial,Contabilidad como Herramienta Gerencial,Universidad de Palermo,"4.8","114 ","4,012","100% online",Beginner Level,Approx. 9 hours to complete,Spanish, Spanish,4023,-,-
1091,https://www.coursera.org/learn/contact-center-ai-building-a-dynamic-virtual-agent,Virtual Agent Development in Dialogflow ES for Software Devs,Google Cloud,"4.3","32 ","1,997,524","100% online",Intermediate Level,Approx. 6 hours to complete,English, English,4001,-,-
1092,https://www.coursera.org/learn/contact-center-ai-conversational-design-fundamentals,Contact Center AI: Conversational Design Fundamentals,Google Cloud,"4.5","153 ","6,100","100% online",Beginner Level,Approx. 4 hours to complete,English, English,2682,-,-
1093,https://www.coursera.org/learn/contact-center-ai-operations-and-implementation,Contact Center AI: Operations and Implementation,Google Cloud,"4.6","41 ","1,919","100% online",Intermediate Level,Approx. 7 hours to complete,English, English,2682,-,-
1094,https://www.coursera.org/learn/containerized-applications-on-aws,Containerized Applications on AWS,Amazon Web Services,"4.6","97 ","13,269","100% online",Beginner Level,Approx. 12 hours to complete,English, English,2381,-,-
1095,https://www.coursera.org/learn/contemporary-art,What Is Contemporary Art?,The Museum of Modern Art,"4.7","1,750 ","153,055","100% online",Beginner Level,Approx. 11 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",3184,-,-
1096,https://www.coursera.org/learn/contemporary-biology,Contemporary Biology,University of North Texas,"4.8","58 ","4,054","100% online",NA,Approx. 10 hours to complete,English, English,2381,-,Coursera Labs
1097,https://www.coursera.org/learn/contenido-matematica-escolar,Contenido de las matemáticas de primaria,Universidad de los Andes,"4.9","1,190 ","41,994","100% online",Beginner Level,Approx. 25 hours to complete,Spanish, Spanish,2381,-,-
1098,https://www.coursera.org/learn/content-management-strategy,Content Strategy for Professionals: Managing Content,Northwestern University,"4.5","312 ","16,283","100% online",NA,Approx. 5 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",4023,Course 2 of 5,-
1099,https://www.coursera.org/learn/content-marketing,The Strategy of Content Marketing,"University of California, Davis","4.5","4,045 ","439,818","100% online",Intermediate Level,Approx. 20 hours to complete,English," Arabic, French, Portuguese (European), Serbian, Italian, Vietnamese, German, Russian, English, Spanish",2368,-,-
1100,https://www.coursera.org/learn/contexto-negocios-latam,"Contexto de Negocios en LATAM: Factores Políticos, Sociales y Económicos",Pontificia Universidad Católica de Chile,"4.7","150 ","2,853","100% online",NA,Approx. 6 hours to complete,Spanish, Spanish,4023,Course 3 of 3,-
1101,https://www.coursera.org/learn/continuous-integration,Continuous Integration,"University of California, Davis","4.0","39 ","9,503","100% online",Intermediate Level,Approx. 16 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",2381,-,-
1102,https://www.coursera.org/learn/continuous-learning-culture,Creating a Team Culture of Continuous Learning,University of Pennsylvania,"4.6","151 ","6,604","100% online",NA,Approx. 10 hours to complete,English," English, Spanish",6486,Course 4 of 5,-
1103,https://www.coursera.org/learn/contracts-1,American Contract Law I,Yale University,"4.9","820 ","52,840","100% online",Beginner Level,Approx. 32 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",2381,-,-
1104,https://www.coursera.org/learn/contracts-2,American Contract Law II,Yale University,"4.9","204 ","13,631","100% online",Beginner Level,Approx. 38 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2381,-,-
1105,https://www.coursera.org/learn/contrats,Rédaction de contrats,University of Geneva,"4.8","743 ","22,720","100% online",NA,Approx. 15 hours to complete,French, French,2368,-,-
1106,https://www.coursera.org/learn/control-and-replan-using-earned-value-and-risk,Project Management: Control using the Earned Value and Risk,Politecnico di Milano,"4.9","38 ","1,944","100% online",Beginner Level,Approx. 1 hour to complete,English, English,6451,-,-
1107,https://www.coursera.org/learn/control-automatico,Control automático: La tecnología invisible,Universidad Nacional Autónoma de México,"4.7","346 ","18,717","100% online",Beginner Level,Approx. 9 hours to complete,Spanish, Spanish,2381,-,-
1108,https://www.coursera.org/learn/control-flow-in-rpa,Control Flow in RPA,UiPath,"4.8","12 ","1,624","100% online",Beginner Level,Approx. 10 hours to complete,English, English,6486,-,-
1109,https://www.coursera.org/learn/controle,Introdução ao Controle de Sistemas,Instituto Tecnológico de Aeronáutica,"4.9","1,127 ","65,863","100% online",NA,Approx. 19 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),2368,-,Coursera Labs
1110,https://www.coursera.org/learn/controle-moderno,Introdução ao Controle Moderno,Instituto Tecnológico de Aeronáutica,"4.8","42 ","6,380","100% online",Intermediate Level,Approx. 10 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),3184,-,-
1111,https://www.coursera.org/learn/controle-s,Controle de Sistemas no Plano-s,Instituto Tecnológico de Aeronáutica,"4.8","87 ","5,727","100% online",Intermediate Level,Approx. 9 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),2381,-,-
1112,https://www.coursera.org/learn/controle-tempo-discreto,Controle a Tempo Discreto,Instituto Tecnológico de Aeronáutica,NA,NA,"1,987","100% online",Intermediate Level,Approx. 11 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),2381,-,Coursera Labs
1113,https://www.coursera.org/learn/conversational-english-skills,Conversational English Skills,Tsinghua University,"4.4","628 ","87,298","100% online",Beginner Level,Approx. 9 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",3202,-,-
1114,https://www.coursera.org/learn/conversational-sales,Conversational Selling Playbook for SDRs,Salesforce,"4.7","24 ","5,071","100% online",Beginner Level,Approx. 25 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",4023,-,-
1115,https://www.coursera.org/learn/conversational-sales-es,Manual de estrategias de ventas por conversación para SDR,Salesforce,NA,NA,"5,635","100% online",Beginner Level,Approx. 24 hours to complete,Spanish," Spanish, English",3184,-,Coursera Labs
1116,https://www.coursera.org/learn/converter-circuits,Converter Circuits,University of Colorado Boulder,"4.8","1,296 ","46,144","100% online",NA,Approx. 18 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,-,Coursera Labs
1117,https://www.coursera.org/learn/converter-control,Converter Control,University of Colorado Boulder,"4.8","601 ","24,993","100% online",NA,Approx. 19 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,-,Coursera Labs
1118,https://www.coursera.org/learn/convolutional-neural-networks,Convolutional Neural Networks,DeepLearning.AI,"4.9","41,397 ","451,457","100% online",Intermediate Level,Approx. 36 hours to complete,English," Chinese (Traditional), Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, Korean, German, Russian, Turkish, English, Spanish, Japanese",4023,-,-
1119,https://www.coursera.org/learn/convolutional-neural-networks-fr,Réseaux neuronaux convolutifs,DeepLearning.AI,NA,NA,"6,453,333","100% online",Intermediate Level,Approx. 20 hours to complete,French," Chinese (Traditional), French, Portuguese (Brazilian), Chinese (Simplified), Korean, Russian, Turkish, English, Spanish, Japanese",2368,-,-
1120,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,"4.7","7,729 ","126,964","100% online",Intermediate Level,Approx. 16 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish, Japanese",4023,-,-
1121,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow-ja,TensorFlow を使った畳み込みニューラルネットワーク,DeepLearning.AI,NA,NA,"432,997","100% online",Intermediate Level,Approx. 10 hours to complete,Japanese," Japanese, English, Russian",2368,-,-
1122,https://www.coursera.org/learn/cooking-healthy-food,Cooking for Busy Healthy People,Stanford University,"4.6","81 ","11,891","100% online",Beginner Level,Approx. 11 hours to complete,English, English,4023,-,-
1123,https://www.coursera.org/learn/copy-of-fpga-intro,FPGA computing systems: Partial Dynamic Reconfiguration,Politecnico di Milano,NA,NA,"18,227","100% online",Beginner Level,Approx. 27 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2368,-,Coursera Labs
1124,https://www.coursera.org/learn/copy-of-glasscock,English and Academic Preparation - Grad Track,Rice University,NA,NA,"5,929","100% online",Intermediate Level,Approx. 25 hours to complete,English, English,2368,-,-
1125,https://www.coursera.org/learn/copyright-for-education,Copyright for Educators & Librarians,Duke University,"4.8","530 ","17,168","100% online",NA,Approx. 13 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2381,-,Coursera Labs
1126,https://www.coursera.org/learn/copyright-for-multimedia,Copyright for Multimedia,Duke University,"4.6","388 ","21,433","100% online",NA,Approx. 11 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2381,-,Coursera Labs
1127,https://www.coursera.org/learn/copyright-law,Copyright Law,University of Pennsylvania,"4.8","280 ","11,154","100% online",NA,Approx. 12 hours to complete,English," English, Spanish",6486,Course 2 of 4,-
1128,https://www.coursera.org/learn/copyright-law-music-business,Copyright Law in the Music Business,Berklee,"4.8","613 ","13,920","100% online",Beginner Level,Approx. 10 hours to complete,English, English,2135,-,-
1129,https://www.coursera.org/learn/corp-sustainability,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,"4.6","709 ","35,979","100% online",NA,Approx. 15 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",2381,-,Coursera Labs
1130,https://www.coursera.org/learn/corporate-commercial-law-part1,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,"4.8","1,083 ","40,005","100% online",Intermediate Level,Approx. 23 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4844,-,-
1131,https://www.coursera.org/learn/corporate-commercial-law-part2,"Corporate & Commercial Law II: Business Forms, Financing & Governmental Regulation",University of Illinois at Urbana-Champaign,"4.9","318 ","15,925","100% online",Intermediate Level,Approx. 25 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4844,-,-
1132,https://www.coursera.org/learn/corporate-entrepreneurs-business-model,Building the Business Model for Corporate Entrepreneurs,"University of Maryland, College Park","4.7","67 ","7,985","100% online",Beginner Level,Approx. 11 hours to complete,English," French, Portuguese (European), Russian, English, Spanish, Romanian",3202,-,-
1133,https://www.coursera.org/learn/corporate-entrepreneurs-financing,Financing and Profiting from Innovation for Corporate Entrepreneurs,"University of Maryland, College Park","4.7","42 ","4,147","100% online",Beginner Level,Approx. 9 hours to complete,English, English,3184,-,-
1134,https://www.coursera.org/learn/corporate-entrepreneurs-innovation-strategy,Crafting Strategies for Innovation Initiatives for Corporate Entrepreneurs,"University of Maryland, College Park","4.1","28 ","3,588","100% online",Beginner Level,Approx. 13 hours to complete,English, English,3202,-,-
1135,https://www.coursera.org/learn/corporate-entrepreneurs-opportunity,Developing the Opportunity for Corporate Entrepreneurs,"University of Maryland, College Park","4.4","87 ","10,682","100% online",Beginner Level,Approx. 22 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",3184,-,-
1136,https://www.coursera.org/learn/corporate-entrepreneurship,Corporate Entrepreneurship,Tecnológico de Monterrey,NA,NA,"836","100% online",Advanced Level,Approx. 27 hours to complete,English, English,4023,-,Coursera Labs
1137,https://www.coursera.org/learn/corporate-entrepreneurship-project,Master Class for Corporate Entrepreneurs,"University of Maryland, College Park","4.4","30 ","4,029","100% online",Beginner Level,Approx. 15 hours to complete,English, English,3184,-,-
1138,https://www.coursera.org/learn/corporate-finance-essentials,Corporate Finance Essentials,IESE Business School,"4.8","2,337 ","78,121","100% online",NA,Approx. 13 hours to complete,English," Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, Korean, German, Russian, English, Spanish",6486,Course 3 of 4,-
1139,https://www.coursera.org/learn/corporate-finance-essentials-ii,Corporate Finance Essentials II,IESE Business School,"4.8","74 ","5,282","100% online",Intermediate Level,Approx. 7 hours to complete,English, English,6486,-,-
1140,https://www.coursera.org/learn/corporate-finance-know-your-numbers-2,Corporate finance: Know your numbers 2,Macquarie University,"3.7","28 ","4,792","100% online",Beginner Level,Approx. 20 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",6486,-,-
1141,https://www.coursera.org/learn/corporate-finance-measure-success,Corporate Finance I: Measuring and Promoting Value Creation,University of Illinois at Urbana-Champaign,"4.7","1,078 ","39,898","100% online",NA,Approx. 23 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,Course 5 of 7,-
1142,https://www.coursera.org/learn/corporate-finance-two,Corporate Finance II: Financing Investments and Managing Risk,University of Illinois at Urbana-Champaign,"4.8","816 ","36,107","100% online",NA,Approx. 19 hours to complete,English," Chinese (Traditional), Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish",4023,Course 6 of 7,-
1143,https://www.coursera.org/learn/corporate-governance-mitos-realidades,Corporate governance. Mitos y realidades,Universitat Autònoma de Barcelona,"4.6","228 ","8,491","100% online",Beginner Level,Approx. 8 hours to complete,Spanish, Spanish,2381,-,-
1171,https://www.coursera.org/learn/cplusplus-crypto-i,Use C++ to build a crypto trading platform I: user input,University of London,NA,NA,"356,450","100% online",Intermediate Level,Approx. 10 hours to complete,English, English,0,-,Coursera Labs
1144,https://www.coursera.org/learn/corporate-strategy,Corporate Strategy,University of Illinois at Urbana-Champaign,"4.7","1,040 ","40,912","100% online",NA,Approx. 10 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,Course 6 of 7,-
1145,https://www.coursera.org/learn/corporatestrategy,Corporate Strategy,University of London,"4.8","1,592 ","58,448","100% online",Beginner Level,Approx. 10 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",2381,-,-
1146,https://www.coursera.org/learn/correccion-estilo-variaciones,"Corrección, estilo y variaciones de la lengua española",Universitat Autònoma de Barcelona,"4.6","1,444 ","113,638","100% online",Beginner Level,Approx. 20 hours to complete,Spanish, Spanish,2381,-,-
1147,https://www.coursera.org/learn/corrosion,Protecting the World: Introducing Corrosion Science and Engineering,University of Manchester,"4.6","791 ","17,513","100% online",Intermediate Level,Approx. 11 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2368,-,-
1148,https://www.coursera.org/learn/cortex-m-software-development-fundamentals,Cortex-M Software Development Fundamentals,Arm,NA,NA,"2,306","100% online",Intermediate Level,Approx. 9 hours to complete,English, English,6486,-,Coursera Labs
1149,https://www.coursera.org/learn/cosmeticos,Cosmetologia: Prática de Manipulação de Cosméticos,Universidade Estadual de Campinas,"4.8","99 ","3,334","100% online",Beginner Level,Approx. 3 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),2381,-,-
1150,https://www.coursera.org/learn/cosmetologia,Cosmetologia em prol do envelhecimento com saúde e beleza,Universidade Estadual de Campinas,"4.8","175 ","7,351","100% online",Beginner Level,Approx. 18 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),2381,-,-
1151,https://www.coursera.org/learn/cost-accounting-decision-making,Cost Accounting: Decision Making,Technische Universität München (TUM),"4.8","19 ","2,477","100% online",Intermediate Level,Approx. 8 hours to complete,English, English,4023,-,-
1152,https://www.coursera.org/learn/cost-accounting-profit-and-loss-calculation,Cost Accounting: Profit and Loss Calculation,Technische Universität München (TUM),"4.6","32 ","3,506","100% online",Intermediate Level,Approx. 3 hours to complete,English, English,4023,-,-
1153,https://www.coursera.org/learn/costosparanegocios,Costos para los Negocios,Universidad de Chile,"4.8","2,161 ","73,886","100% online",Intermediate Level,Approx. 60 hours to complete,Spanish, Spanish,2381,-,-
1154,https://www.coursera.org/learn/countering-terror-violent-extremism,New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park","4.7","192 ","7,134","100% online",Beginner Level,Approx. 3 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2368,-,-
1155,https://www.coursera.org/learn/country-level-economics,Country Level Economics: Macroeconomic Variables and Markets,University of Illinois at Urbana-Champaign,"4.4","906 ","34,231","100% online",NA,Approx. 17 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",4023,Course 3 of 7,-
1156,https://www.coursera.org/learn/covid-19,Science Matters: Let's Talk About COVID-19,Imperial College London,"4.2","208 ","146,690","100% online",Beginner Level,Approx. 16 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",0,-,Coursera Labs
1157,https://www.coursera.org/learn/covid-19-capacitacion-trabajadores-de-la-salud,Capacitación sobre COVID-19 para trabajadores de salud,Stanford University,"4.9","1,323 ","19,910","100% online",NA,Approx. 5 hours to complete,Spanish," Spanish, English",2381,-,Coursera Labs
1158,https://www.coursera.org/learn/covid-19-contact-tracing,COVID-19 Contact Tracing,Johns Hopkins University,"4.9","94,853 ","1,397,266","100% online",Beginner Level,Approx. 6 hours to complete,English," Chinese (Traditional), Arabic, French, Portuguese (European), Italian, Portuguese (Brazilian), Vietnamese, Korean, German, Russian, Indonesian, English, Spanish, Nepali",2381,-,-
1159,https://www.coursera.org/learn/covid-19-esp, Manejo del enfermo semicrítico y crítico por COVID-19,University of Barcelona,"4.8","191 ","9,251","100% online",Advanced Level,Approx. 37 hours to complete,Spanish, Spanish,2381,-,-
1160,https://www.coursera.org/learn/covid-19-genome-annotation,Hacking COVID-19 — Course 2: Decoding SARS-CoV-2's Secrets,University of California San Diego,NA,NA,"3,320","100% online",Beginner Level,Approx. 6 hours to complete,English, English,2368,-,Coursera Labs
1161,https://www.coursera.org/learn/covid-19-genome-assembly,Hacking COVID-19 — Course 1: Identifying a Deadly Pathogen,University of California San Diego,"4.5","41 ","2,940","100% online",Beginner Level,Approx. 6 hours to complete,English, English,2368,-,-
1162,https://www.coursera.org/learn/covid-19-recherche-contacts,COVID-19 : à la recherche des contacts,University of Geneva,NA,NA,"312","100% online",Beginner Level,Approx. 8 hours to complete,French, French,2381,-,Coursera Labs
1163,https://www.coursera.org/learn/covid-19-training-healthcare,COVID-19 Training for Healthcare Workers,Stanford University,"4.9","6,282 ","115,101","100% online",NA,Approx. 8 hours to complete,English," English, Vietnamese",2381,-,Coursera Labs
1164,https://www.coursera.org/learn/covid-19-training-healthcare-portuguese-br,Formação sobre a COVID-19 para Profissionais de Saúde,Stanford University,"4.9","67 ","136,697","100% online",NA,Approx. 7 hours to complete,Portuguese (Brazilian), Portuguese (Brazilian),2368,-,Coursera Labs
1165,https://www.coursera.org/learn/covid-19-what-you-need-to-know,COVID-19: What You Need to Know,Osmosis,"4.8","7,010 ","105,915","100% online",Beginner Level,Approx. 3 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish, Japanese",2381,-,-
1166,https://www.coursera.org/learn/covid-19lectureseries,Lecture Series for Preventing and Controlling COVID-19,Xi'an Jiaotong University,"4.5","344 ","7,173","100% online",Beginner Level,Approx. 8 hours to complete,English," French, Portuguese (Brazilian), Russian, English, Spanish",0,-,Coursera Labs
1167,https://www.coursera.org/learn/covid-vaccine-ambassador,COVID Vaccine Ambassador Training: How to Talk to Parents,Johns Hopkins University,"4.9","1,208 ","30,491","100% online",Beginner Level,Approx. 2 hours to complete,English, English,2381,-,-
1168,https://www.coursera.org/learn/covid-vaccine-ambassador-spanish,Embajador de la Vacuna COVID: Cómo Hablar con los Padres,Johns Hopkins University,"4.9","11 ","30,718","100% online",Beginner Level,Approx. 2 hours to complete,Spanish," Spanish, English",2368,-,-
1169,https://www.coursera.org/learn/covid19clinicalupdate,COVID-19 - A clinical update,University of Florida,"4.7","333 ","23,089","100% online",Intermediate Level,Approx. 12 hours to complete,English, English,2381,-,-
1170,https://www.coursera.org/learn/cpia,Connected Planning in Action,Anaplan,NA,NA,"1,367","100% online",Beginner Level,Approx. 31 hours to complete,English, English,3202,Course 2 of 4,-
1172,https://www.coursera.org/learn/cplusplus-crypto-ii,Use C++ to build a crypto trading platform II: data,University of London,NA,NA,"356,450","100% online",Intermediate Level,Approx. 10 hours to complete,English, English,0,-,Coursera Labs
1173,https://www.coursera.org/learn/cplusplus-crypto-iii,Use C++ to build a crypto trading platform III: functions,University of London,NA,NA,"356,450","100% online",Intermediate Level,Approx. 9 hours to complete,English, English,0,-,Coursera Labs
1174,https://www.coursera.org/learn/cplusplus-crypto-iv,Use C++ to build a crypto trading platform IV: objects,University of London,NA,NA,"356,450","100% online",Intermediate Level,Approx. 12 hours to complete,English, English,0,-,Coursera Labs
1175,https://www.coursera.org/learn/cplusplus-crypto-v,Use C++ to build a crypto trading platform V: final system,University of London,NA,NA,"356,450","100% online",Intermediate Level,Approx. 7 hours to complete,English, English,0,-,Coursera Labs
1176,https://www.coursera.org/learn/cpp-basic-structures-vectors-pointers-strings-and-files,"C++ Basic Structures: Vectors, Pointers, Strings, and Files",Codio,"4.6","141 ","9,453","100% online",Beginner Level,Approx. 9 hours to complete,English, English,4023,-,-
1177,https://www.coursera.org/learn/cpp-chengxu-sheji,C++程序设计,Peking University,"4.7","807 ","40,768","100% online",NA,Approx. 52 hours to complete,Chinese (Simplified), Chinese (Simplified),3202,Course 3 of 7,-
1178,https://www.coursera.org/learn/cpp-class-development,C++ Class Development,University of Colorado System,"4.8","13 ","1,899","100% online",Intermediate Level,Approx. 18 hours to complete,English, English,4023,-,-
1179,https://www.coursera.org/learn/cpp-object-basics,"C++ Object Basics: Functions, Recursion, and Objects",Codio,"4.8","103 ","5,774","100% online",Intermediate Level,Approx. 8 hours to complete,English, English,4023,-,-
1180,https://www.coursera.org/learn/craft-of-character,Creative Writing: The Craft of Character,Wesleyan University,"4.5","1,810 ","78,491","100% online",NA,Approx. 6 hours to complete,English," Arabic, French, Portuguese (European), Serbian, Italian, Vietnamese, German, Russian, English, Spanish, Hungarian",4023,Course 2 of 5,-
1181,https://www.coursera.org/learn/craft-of-plot,Creative Writing: The Craft of Plot,Wesleyan University,"4.7","4,554 ","259,355","100% online",NA,Approx. 5 hours to complete,English," Arabic, French, Portuguese (European), Serbian, Italian, Vietnamese, German, Russian, English, Spanish, Hungarian, Polish",4023,Course 1 of 5,-
1182,https://www.coursera.org/learn/craft-of-setting-and-description,Creative Writing: The Craft of Setting and Description,Wesleyan University,"4.7","1,306 ","56,631","100% online",NA,Approx. 7 hours to complete,English," Arabic, French, Portuguese (European), Serbian, Italian, Vietnamese, German, Russian, English, Spanish, Hungarian",4023,Course 3 of 5,-
1183,https://www.coursera.org/learn/craft-of-style,Creative Writing: The Craft of Style,Wesleyan University,"4.7","1,093 ","58,737","100% online",NA,Approx. 7 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish, Hungarian",4023,Course 4 of 5,-
1184,https://www.coursera.org/learn/crash-course-in-causality, A Crash Course in Causality: Inferring Causal Effects from Observational Data,University of Pennsylvania,"4.7","499 ","36,920","100% online",Intermediate Level,Approx. 18 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",2381,-,-
1185,https://www.coursera.org/learn/crear-esquemas-de-pagina-prototipos-de-baja-fidelidad,Crear esquemas de página y prototipos de baja fidelidad,Google,"4.9","164 ","4,659","100% online",Beginner Level,Approx. 20 hours to complete,Spanish," Spanish, English",766,-,-
1186,https://www.coursera.org/learn/crear-prototipos-y-disenos-de-alta-fidelidad-en-figma,Crear prototipos y diseños de alta fidelidad en Figma,Google,"4.9","68 ","3,437","100% online",Beginner Level,Approx. 33 hours to complete,Spanish," Spanish, English",766,-,-
1187,https://www.coursera.org/learn/create-machine-learning-models-in-microsoft-azure,Create Machine Learning Models in Microsoft Azure,Microsoft,"4.6","122 ","11,587","100% online",Intermediate Level,Approx. 12 hours to complete,English, English,4023,-,-
1188,https://www.coursera.org/learn/create-serverless-applications,Create Serverless Applications,Microsoft,"4.5","44 ","7,430","100% online",Intermediate Level,Approx. 17 hours to complete,English, English,4023,-,-
1189,https://www.coursera.org/learn/create-the-user-interface-with-swiftui,Create the User Interface with SwiftUI,Meta,"4.7","37 ","2,888","100% online",Beginner Level,Approx. 20 hours to complete,English, English,1609,-,-
1190,https://www.coursera.org/learn/create-video-audio-and-infographics-for-online-learning,"Create video, audio and infographics for online learning",Macquarie University,"4.7","56 ","5,590","100% online",Beginner Level,Approx. 19 hours to complete,English, English,4023,-,-
1191,https://www.coursera.org/learn/creating-a-technology-startup-company,Creating a Startup Company,University of Colorado Boulder,NA,NA,"812","100% online",Beginner Level,Approx. 34 hours to complete,English, English,3202,-,Coursera Labs
1192,https://www.coursera.org/learn/creating-global-brands,Creating Global Brands with Jagdish Sheth,University System of Georgia,NA,NA,"610","100% online",Beginner Level,Approx. 4 hours to complete,English, English,6486,-,Coursera Labs
1193,https://www.coursera.org/learn/creating-innovation,Creating Innovation,Macquarie University,"4.7","49 ","7,692","100% online",Beginner Level,Approx. 15 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",3202,-,-
1194,https://www.coursera.org/learn/creative-artifacts,Creative Artifacts,"Parsons School of Design, The New School","4.7","13 ","3,921","100% online",Intermediate Level,Approx. 21 hours to complete,English, English,3202,-,-
1195,https://www.coursera.org/learn/creative-design-prototyping-testing,"Creative Design, Prototyping, and Testing","University of Maryland, College Park","4.1","44 ","3,883","100% online",Beginner Level,Approx. 11 hours to complete,English, English,6486,-,-
1196,https://www.coursera.org/learn/creative-problem-solving,Creative Problem Solving,University of Minnesota,"4.4","2,222 ","238,054","100% online",NA,Approx. 13 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",2381,-,Coursera Labs
1197,https://www.coursera.org/learn/creative-thinking-and-innovation,Creative Thinking and Innovation,The University of Sydney,NA,NA,"112,930","100% online",Beginner Level,Approx. 13 hours to complete,English, English,2381,-,Coursera Labs
1198,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success,Creative Thinking: Techniques and Tools for Success,Imperial College London,"4.7","3,818 ","280,249","100% online",Beginner Level,Approx. 19 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",2381,-,-
1199,https://www.coursera.org/learn/creativethinking,Creative Thinking,Arizona State University,NA,NA,"3,969","100% online",Beginner Level,Approx. 4 hours to complete,English, English,6486,-,Coursera Labs
